帖子,评论量,浏览量
关于爬去百度翻译的问题,7,329
关于爱因斯坦问题,3,152
!江湖急求，有没有老哥能帮我爬一下虎牙直播间评论....,7,231
中文版geany下载地址,1,145
那位大佬给指点一下,5,172
python数组添加内容怎么不行,11,354
上了第002节课，有一个问题我想问一下,5,186
求大神帮忙说说三元操作符。,5,1328
请问大神~Python3可以安装到U盘吗？,2,271
触碰python没两天的小白一枚,4,243
在正则表达式中创建多个标志,0,131
为什么显示无效语法,2,331
PYthon19课时,0,155
比较两个字典,6,205
024 递归:汉诺塔 课后作业问题?,6,1642
列表超出范围  求救大神 谢谢！！,0,137
函数问题,2,144
python判断某个数值是否在区间范围内,1,941
一个求水仙花函数循环问题,4,233
有关用PYTHON提取关键字所在行数,11,561
课后作业第十九讲动动手01,3,136
关于爬虫，js点击提交的问题,7,145
关于改进小游戏,8,178
Python求教!!,4,195
python 基础求助,2,141
想爬取一个网站的txt电子书资源,22,685
Python 文件打开模式 疑问,10,228
python获取虎牙所有直播间弹幕,0,478
同时在a股上市和香港上市的股票清单格式转换,4,122
计算打印不出结果,2,125
请问为什么这个程序没有无限递归,4,180
为什么这样写入文件不能换行,4,173
小白，学循环,2,172
将字符串转换,5,143
请写一个程序打印出 0~100 所有的奇数,4,350
关于python常用模块的安装问题,39,8632
爱因斯坦台阶（第六节课动动手第二题）,1,162
零基础入门学python-条件判断问题求助,2,220
关于 Python 装饰器 的疑惑~,20,569
简单的卷积神经网络------制作计算图,0,256
报错求助！,4,130
第020讲 练习题 第6题的问题,9,2183
python多进程操作文件,5,139
python,1,284
正则表达式疑问,6,213
《零基础入门学习Python》第20讲课后作业的问题,6,1122
关于第20讲的问题！,4,135
零基础入门学习Python第21讲,6,180
请问各位能帮我看看怎么修改这段码吗？ 我这个是按课本上写的，可还是不对,12,300
关于爬虫404的问题,2,265
关于写一个程序，判断给定年份是否为闰年遇到的问题。,8,609
统计py文件中包含关键字的频率,0,177
自监督学习,1,227
关于安装scrapy,1,194
CNN识别手写数字,0,265
关于fromkeys的用法,2,113
跪求easygui的安装包,1,143
新手求助：关于零基础python12讲的最后一道题,1,144
python读取文件,1,105
代码求解释,2,162
关于随机排列,17,283
#问题 ：只输出个返回值1，别的不输出，,7,119
问题 ：只输出返回值1，不会输出‘宾果！你成功访问到我啦！,24,286
大神帮忙~,3,144
99%的人都理解错了pow()的用法！,4,193
selenium框架爬取虎牙主播的粉丝信息,17,501
关于对象ID,7,146
python 入门，第4讲，第1题 为什么是10次,3,230
大小写key合并求解释,2,294
看雪登录,22,1751
[新手求助]第012讲：列表：一个打了激素的数组3 | 课后测试题及答案,2,187
python打开文件名遇到冒号,4,313
不能理解类里的函数定义没有写self的情况,4,124
python类的问题,6,124
请教面向对象的编程思路,1,128
22课疑问求解,4,126
惊现ilovefishc.com,2,804
第37课乌龟吃小鱼游戏中，列表是否被当成全局变量？,4,318
机器学习系列------tensorflow,0,608
新手求助!第003讲：插曲之变量和字符串 | 课后测试题动动手第0题求助,13,326
其中tkinter的Frame组件中设置takefocus为True后为什么使用Tab后没有焦点显示,1,117
一个关于名片管理器,3,127
一个简单的卷积神经网络------整理数据,0,261
零基础入门学python 第5课课后题判断闰年哪里错了,2,153
No module named 'Shape',3,565
【最新】煎蛋网美女图片-成功爬虫800张,2,224
线程非安全,1,122
请教各位前辈个关于tkinter显示组件的问题~非常感谢,2,121
IDLE崩溃：IDLE's subprocess didn't make connection. Either IDLE can't start a...,7,10135
大佬帮个忙看下,2,160
零基础入门学习Python第18讲,12,181
matplotlib画出畸形图,8,205
爬虫返回页面内容没有图片地址,8,248
第20讲动动手,3,181
一个简单的卷积神经网络实现------读取cifar10数据,0,267
打印文件内容却实现不了，想请问大神这是什么原因？,4,183
爬取豌豆夹网站遇到的问题,1,168
关于tkinter中Canvas组件中的画布坐标系怎么实现,1,281
23，24讲关于递归进制转换课后题,5,155
22课时问题，,9,176
while这块没看懂,7,233
python seaborn做clustermap问题！,1,383
咋用Python做一个问答考试系统,1,137
Python-docx读取表格的问题求助,17,404
python面向对象程序设计题目,0,214
不用等值线函数的情况下画一条灰度等值线,0,208
python爬虫post上传本地图片怎么上传？,0,208
wxPython控件大全,0,221
Fiddler工具使用介绍一,0,188
python用什么播放歌曲你呢,0,133
chrome设置无头，代码不报错，但是还是会有浏览器窗口弹出,10,158
一个简单的内嵌函数问题，看看哪里出了问题，帮帮忙,10,137
每日一题,0,5
print输出的格式,2,118
python基础问题,7,209
openpyxl模块插入图片，excel打开显示部分内容有问题,0,587
请教各位前辈个关于PhotoImage放在函数里显示不出图片的问题！非常感谢~！！,6,187
零基础入门学习python第26讲动动手,5,185
零基础入门学习python 第14讲课后作业,2,172
课后作业 10 的问题,5,191
关于return,3,184
求助，关于python的回文联问题,6,229
小白，救助,7,191
有人知道这个函数为啥返回的不是‘小甲鱼 baby I love you’吗,11,282
求哥哥姐姐们指导,1,190
这两种结果是什么原因,6,243
某网站的图片,4,243
通过tensorflow读取数据,1,275
第31课 小甲鱼和小客服 record.txt文件分割遇到的问题,2,623
其中两个列表推导式生成的列表不可直接使用extend()方法么？,2,142
安装了py3.6.7没有pip,4,139
换行操作问题。,4,147
字符串format中显示unsupported format character '?' (0x7684)的错误求助,5,1277
杨辉三角代码阅读问题,8,279
请问这条代码怎么改？系统显示第二个def的str有问题，谢谢帮助！,2,138
求大神！！,3,143
第20课时课后作业问题,2,154
运行结果不对啊，这个题是什么意思？,5,212
对象问题求助,1,144
为什么和教学视频上的输出不一样,4,129
大佬们看看有没有可以优化的地方了？,3,412
while 循环为什么不按期望执行-第9课课后习题之动动手0,3,150
countA在第四个元素也为大写的时候该不该清零,6,174
binary delphi not found,0,121
为什么只有一个结果？,3,183
求助大神,2,171
020讲 函数中的作业,2,151
mysql错误代码2003，问题请教,2,117
爬的数据怎么不对？？？？？？,6,525
问一下大佬们,1,119
递归问题,4,156
零基础学python第003讲课后作业计算一年多少秒,5,232
大神救救我,2,171
29课替换题,3,163
怎么效果不一样,3,124
帮忙看下,7,112
区别,5,161
求助,3,119
关于字符串格式的小小问题,2,126
求教大神指导,6,137
谁能给讲讲这个抽象方法这个概念？,2,144
请问为什么用scrapy写一个之前已经实现的程序，xpath解析的结果却出现不同？,14,433
XXX相亲网站资料,0,240
第十四课作业求解~~,1,133
python第12讲第六题,8,251
如何用python中的turtle画出这个图,3,245
解决pychram 打包EXE报错failed to execute script,6,561
第31课  小甲鱼和小客服  跑书上代码遇到问题,0,157
使用os.mkdir()方法时候，发现报错，拒绝访问,2,435
如何解决python中文件命名的大小写问题,1,153
求助如何将写好的Python代码封装。,14,524
改进小游戏限制次数的guess赋值和 end=&quot;&quot;不太懂,8,749
那位大佬给解释下啊！！！！,4,207
安装pygame但没有对应python3.6版本的,4,1840
在第14章有道词典那个地方遇到问题,5,141
pygame安装了没法用,6,884
continue语句错误,5,206
这样有什么区别吗,3,144
第9课的作业水仙花数为什么和我想的不一样,6,202
第10课动动手第2题有点疑问,7,254
python 描述符,7,143
17课课后问题，求解答一下。谢谢。,3,158
没看懂这个是要我做什么,1,170
018讲课后习题,4,194
出错了，求助,2,136
python爬虫时的头部header添加问题,7,231
最小一乘法代码效率,1,234
载入爬虫文件后，就不能写入了。,0,153
请问这三种输入的区别,2,125
请问tkinter里的输入框怎么自动激活？,1,267
零基础入门学习python 第14讲,1,319
为何都是utf-8结果读取后乱码了？,6,205
两者打印出来有什么区别吗,4,117
pygame 飞机大战复刻,2,197
在一个py文件里引入外置函数为什么使用外置函数的变量会提示没有定义？如下图,5,117
21课后习题,2,173
import random 我的与视频输出不一样,4,226
找密码,1,102
如何实现下面的输出？,2,127
用openpyxl实现遍历excl中的数据，再讲数据存入字典中,0,130
新手小程序问题：自定义函数只能return一次？,2,289
零基础学python的题目,8,257
关于正则表达式 groups的问题,7,152
关于递归函数的问题（新手多包涵）,11,279
异常信息了解,0,94
卷积神经网络其他层,0,225
安装出错，请助。,2,169
python爬虫第一课的urlopen问题,4,184
怎么在一个函数里使用一个自己导入的函数里设置的变量？，求大神,3,109
python正则表达式里的竖线是怎么输入的,2,296
关于Python位运算符疑问,1,157
012讲零基础入门学习python的最后一个问题,11,252
剪刀 石头 布 的程序  想放入easygui 但电脑没反应 请问什么问题,3,139
新人求助，关于Tkinter Canvas,4,606
关于re.findall的疑惑,7,214
selenium 定位到元素输入文本出错,4,163
pygame安装问题,5,290
requests模块怎么获取url的？,7,148
小甲鱼《零基础入门学习python》第011讲作业,8,276
pygame显示不了飞船,5,270
pygame加载的图片看不到,1,194
文件问题。,3,142
字符串问题,3,135
求助：nonlocal和global,3,142
小白一枚，求大佬帮助！！！！,6,287
Python怎么模拟点击提交按钮？,8,262
while 循环小甲鱼总是在课后题用while 1 和 while True ，他们的区别在哪里,6,192
python打包的EXE报毒，怎么解决,6,615
我想知道python这个么下载啊？我下载的对吗,7,332
经典飞机大战中碰撞检测出现错误，求求大佬帮忙看看,8,266
不明白输出结果的执行,3,141
正则表达式4爬取贴吧照片,3,201
python3.7安装后，cmd还是显示3.6，是什么原因呢？,7,2156
线程通信Queue,0,101
有没有经典的django 和 flask 和 scrapy的书籍推荐 大佬们求指点,5,310
不知道为什么会报的错！！,6,204
简单的自用英语单词听写小程序,0,225
卷积原理,0,256
pyqt5编写进度条程序，run后跳不出进度条的窗口,2,143
一个整数，它加上100后是一个完全平方数。再加上168又是一个完全平方数，问该数是多少,6,3832
一个问题,1,100
使用python如何编写自动投猪脚本,0,277
python魔法方法的一个疑问,6,580
error提问,1,190
scrapy框架把数据存入mysql数据库一直报错,1,105
零基础39课关于标准答案的问题,2,176
呼叫大神,2,149
第15讲 格式化 动动手题目 相关提问,5,209
作用域问题,4,113
请教各位大神,4,141
tkinter画布中放置图片，但图片显示不全，请教怎么设置,5,1841
新人一枚~,0,114
基础学习第四讲输出不换行,2,98
新人加入一分钟,2,119
代码复现求助,6,151
Python,3,148
请问类中的方法之间的新变量如何传递,1,141
super()多继承求助,3,106
第12讲课后作业最后一个，看不懂答案。,5,166
求解，pickle问题,1,144
判断变量发生改变,1,162
017的课后习题,1,134
第38讲 课后习题6中 super函数,6,296
自己编写的俄罗斯方块，大家多多指教哈,2,149
python小练习（019）：24点,7,1549
普通的神经网络,0,271
python实现混江湖小游戏,4,187
求任意几个数的和，请鱼油帮忙看看错在哪里了,4,200
字符串问题,1,151
检测图片中的人脸,5,383
第六十讲中课后习题关于sum的问题,6,310
判断1-n之间有多少个素数，并输出所有素数。,1,261
面对像的问题,2,99
谁知道以下是为什么？,2,144
Python---一行代码之总结,109,5509
关于pyecharts引入库的问题,8,385
tkinter中BUtton按钮怎么使用功能lambda表达式,3,296
问个问题,3,105
关于进程池模块对象不可调用的问题,11,241
while 循环报错，求大神鞭策,7,245
应征每日一题,1,127
红色这段有大佬解释下呗,1,121
将dataframe转换为字典出现问题。,13,277
本人用puppy系统，怎么安装python3,1,165
encoding error 报错求助,8,186
python有什么办法在外部访问函数内部的变量嘛？内容里有代码，求大神解决,2,153
第二十一课课后作业第六题,4,124
请问这里的Gray为什么没有被Green替换,12,210
不用numpy怎么转置矩阵,4,250
python 第20课 动动手第2题,2,146
Python 004怎么样才能实现（输错三次游戏结束）,7,273
txt文件中包含列表的个数,4,205
python小白求助,1,181
19课动手练一练,3,159
默认参数base在定义过程中不能改变么？,1,133
塔利班Pygame-3-雷电（七）-BOSS10~BOSS12,5,324
元组,2,141
xtx文件删除重复行,15,249
成绩查询问题,7,213
遍历.py文件,1,181
汉诺塔的听不懂，有些不知所云，不知道为什么那样子弄，有人能通俗解释一下吗,1,168
公司要求必须看咪咕APP的视频，能爬取出链接我下载不？,1,170
机器学习系列------随机森林算法,4,670
python写一个九九乘法表,21,959
1作为int，为什么没有add方法呢？,4,174
python Tkinter,4,109
初学小白求助个while循环问题,6,266
python课后作业题,4,1010
小白求助第五课问题，为什么这里的a，b，c都是浮点数？,2,717
scrapy css选择器,0,104
图片修补,0,272
19讲动动手第二题，试了一下，看不出来为什么不行诶。,5,175
提高Python运行效率,7,168
关于爬虫问题,14,224
46课操作第2题,5,112
import pandas 显示出错！让我运行python setup.py build_ext --inplace,8,313
第五课时的闰年代码，怎么弄才能无限循环输入数字？,2,166
倒序问题,7,219
请问咱板块有qq群嘛？活跃点的,0,168
python爬网页时转换utf-8出错,4,139
关于git,16,224
欧几里得算法能不能有人来个通俗点的解释，数学太差，看不懂。。。,3,211
list和reversed搭配 的用法,2,255
python里面“”和‘’各有什么用处啊，有什么不同吗,3,200
《零基础入门学习Python》第020讲，课后作业第二题,0,138
网络爬虫习题问题,2,171
求救！我的爬虫第一步就倒下了,4,190
python递归判断回文联,3,155
图形用户界面小问题,1,137
第23 24 递归  回文联,4,832
如何对字典里的值是列表按照一定规定排序,29,556
git连接问题求助,1,95
for循环判断,17,364
怎么用python 求csv文档中的最大值？,5,233
图形用户界面小问题！感谢！,2,155
web服务器（返回固定值）,2,108
46课作业问题。,3,112
关于 Pycharm 的提示信息 疑问~,3,113
PYTHON第12讲,6,158
有关python time模块时间戳的问题,7,237
【求助】关于 for 循环遍历 的问题~~~,16,376
实例化课后习题求解,2,100
关于发收费和回复的帖子,3,114
异常处理部分求大佬解惑,8,195
零基础学习课程第6讲爱因斯坦问题,7,238
easygui安装包,0,168
如何在shell窗口输入多行字符,8,524
发帖失败、各位管理大大求助,0,134
python图片库Wind Image图片中文路径 乱码 如何解决？,2,170
pycharm console 调用不了,12,251
替换文档中的一段话的代码，代码在下面求大神解惑,4,185
为什么复制代码会出现问题，只能一行黏贴回车再黏贴吗？,5,222
029课后习题中的疑问,2,167
一个关于字典的操作,10,248
为什么我做飞机大战一直出现这种情况,6,236
课后作业第14讲的问题,1,204
没懂结果怎么回事，请求指导,2,138
格式问题,4,139
一个正则表达式的疑问,9,244
Python思考练习题3_把指定文件夹下所有文件的名称导出到Excel（已公开答案）,1,190
零基础学python第004讲,2,200
视频分解成图像,0,285
求帮助,2,132
小白求助    求大佬解释解释,2,132
神经网络识别图像,0,151
AI简单代码,0,142
求助python yes or no 的选择问题,5,305
新手问题,6,150
第四讲改进习题,4,154
PyQt5 写好的程序用pyinstaller打包失败,11,3153
【折腾】使用Pyinstaller发布你的Python！,11,4261
求助：改进 失败 用while循环直到用户 输入停止为止。,19,1449
python小程序的问题。,7,201
新手课做第一个小游戏那里就错啦！求大佬帮看！,9,197
爬虫求助,7,190
这个程序哪里错了，为什么跑不了？,3,225
exec()函数,0,102
第18讲课后习题动手最后一题,4,182
第009讲：了不起的分支和循环3 里的水仙花函数是不是有误,2,173
关于while的问题,8,281
002  为什么说我guess 没有定义呢,7,296
第五讲改进游戏的问题函数未能正常引用,2,103
python课后题,5,313
django 创建应用程序时，定义模型时models.py报错,1,151
零基础入门课程第四讲课后作业,10,186
在安装easygui的时候显示没有setuptools的模块,8,250
第一次用BeautifulSoup不知道啥情况,9,185
初学求问index函数,4,208
大家看看为什么我这里错了啊,4,181
scrapy框架爬数据怎么保存数据库,2,203
python到底怎样才能学好。,2,208
《零基础入门学习python》课后作业-第五讲-四舍五入问题,5,220
图片的倒转和中值滤波,1,229
实现isOdd（）函数，参数为整数，如果整数为奇数，返回True，否则返回False,7,7720
requests爬虫遇到点击按钮,4,768
关于python下载文件的问题,15,385
字符串负数索引如何查？,4,412
MMJPG 爬取全部妹子图片,0,501
关于面试的准备,10,295
帮忙看下，不懂,5,210
请求大佬们帮个忙,3,240
第四讲的问题,3,116
为什么我发表的帖子显示，没有找到帖子，,4,166
怎么在获取过程将评论分类保存？,4,144
第二十讲,3,166
新手问题,2,111
谁有五子棋AI代码？,0,132
python用pyplot画图画不成,2,220
Tkinter常用布局管理。,0,140
执行报错,8,196
爬取网址后，图片保存不了,13,526
新手问题,2,141
列表,3,145
依然第二十讲,2,106
自学遇到个问题，求解答,3,151
分享,0,143
这是第29讲的第二个作业题目，为啥迭代不管用啊？明明用数字还是可以的,5,200
新手上路遇到一个问题,3,160
第十九课问题,1,184
005讲的课后题~~各位懂的来看看呀,3,116
《FlaskWeb开发：基于Python的Web应用开发实战》第2节,2,1173
第十九讲，回文联,1,112
【爬虫法宝】真正完美的、易用的，匹配HTML标签的正则表达式！！,17,493
图片翻转，剪切和亮度增强,0,168
零基础学python第19讲回文联第一题,2,154
A star算法的一个小问题,2,174
第35课fileopenbox中的filetypes属性没有发挥功能,7,437
按照小甲鱼的程序爬煎蛋写到一半出现个人暂时无法解决问题，求帮忙,14,279
django2.0,6,183
学习问题。,1,171
python 48课 怎么做，请问我哪里错了，怎么没有输出,3,122
请问一下这个应该怎么改？老是出现TypeError: 'int' object is not subscriptable,6,1012
在安卓设备上写Python,13,992
os.path中的判断函数,1,136
Python初学者遇到的一个小问题,2,164
python汉诺塔递归程序的运行过程是怎么样的,4,1067
django页面,5,146
只能爬到广告节点的爬虫。。,3,146
求助帖，第三章的幂运算符,4,214
莫名其妙最近,3,256
python读取执行体,7,118
关于魔法方法的一些问题,2,170
第十七讲 乐高积木,2,221
关于while的问题,2,140
关于汉诺塔的运行不是很清楚 希望可以有大神讲解一下 谢谢,1,151
第十八讲：水仙花数.,1,169
又来求助了，冒泡排序,8,217
python--文件对象转列表对象,0,121
python的if问题,9,236
第十七讲  十进制转二进制,1,167
第22课动动手第0题,2,154
图片读写，转换成灰度图，调整图片大小,0,277
32讲，异常处理,4,206
还是第十四讲作业，跪求捉虫,4,200
为什么会有空行呢？,4,189
对于返回值的疑问,8,166
python 从入门到精通day3,0,155
python从入门到精通day3学习笔记,0,142
零基础入门python课后作业第009讲,8,871
请问返回值应该怎么理解？,5,240
对象初始化函数中的一个意想不到的错误,0,168
关于文件复制的小疑问。,3,146
第四讲习题提问！,4,202
scrapy爬壁纸顺序问题,14,371
求讲解第9讲课后作业中的水仙花数程序！,5,248
while中if语句如何在一次循环中只执行一项,2,178
menpiao,4,200
python安装six模块,2,610
django页面,3,163
有没有大佬把这两个说详细点,3,176
卷积神经网络从opencv说起,0,301
An exception has occurred， use %tb to see the full traceback.,3,1628
第十四讲作业问题,4,178
若干不懂的课后作业集中提问，请帮帮小白,3,173
【爬虫】网页中明明有这个节点，但始终抓取不到，将节点打印出来则显示“加载中...”,6,181
求助关于AttributeError: 'NoneType' object has no attribute 'string 报错原因,9,3764
请问 编写像嘀嘀打车的软件，用python 可以吗？ 一个人要编写多久,2,245
我VIP账号太久没有登录了，现在找补回来了，求助,7,285
python七段数码管绘制（实现十六进制的输出）,13,1310
python的input问题,4,213
pygame.mixer.music.play()怎么设置可以播放2次,2,266
课后习题一个问题：密码强度检测答案中有漏洞，但是初学者不知道怎么解决，望指正@,4,167
请教求5的阶乘5！,4,215
又来问问题了，遇到了一个关于读行操作readline的问题,3,167
super(),6,107
python使用subprocess写一个ping主机的代码出现无法访问的时候会打印正常,1,148
关于设置密码,2,112
20181114，现在煎蛋按照教学视频爬虫已经爬不了了吗...,6,295
父类中类变量在子类中引用的问题,3,263
python中很大的数值计算求余不正确，麻烦各位帮忙看看,5,217
python零基础46讲课后练习问题求助,5,238
tk+线程报错：RuntimeError: main thread is not in main loop,4,723
第46第0题,4,112
46讲最后一题,1,157
这两段代码表达的意思一样吗？,5,169
零基础入门学习python第28讲文件动动手第二题,2,110
想创建自己的停用词txt，然后怎么把其内容 从我的库中去掉，谢谢,2,194
时间计算问题,10,205
求Phython大神求助,7,197
记录一个pycharm下使用anaconda会出现的问题,0,225
selenium模拟登陆最新版知乎问题,1,350
Phython,0,91
Apache和CGI,0,167
Python 字典(Dictionary)，具体怎么操作使用,3,192
python2和python3共存，用pip分别安装easygui，为什么只有python3可以调用？,5,190
求助,3,104
19讲动动手题1,6,130
调用basemap出错,0,233
变量名后面加， _ 是什么意思,2,406
python爬取腾讯视频评论问题,2,227
关于列表比较操作符的小疑问,1,118
大佬能看看哪错了么,2,153
python更改字体,0,133
求大佬给看下有没有错误,1,106
字符串处理,6,204
爬虫！ 链接参数加密！ 求解！！,27,3648
关于第19讲回文联问题,13,247
求助，chardet模块安装,8,232
python第十七讲,3,161
python 021 lamba filter() map(),1,380
还是一个关于tkinter的问题,4,174
代码不明白,2,160
求助爬取网站文件的名称！,0,125
html中嵌入php(cgi),0,142
求大神指点,19,277
我的pygame俄罗斯方块时间控制是不是有问题，总是报错,48,1077
关于第45讲课后题的问题,1,136
set进行集合运算，怎么理解,2,155
运算符问题,4,109
python练习书本,5,200
用各种算法求解这个问题，求最优解,8,293
变量作用域,1,133
对于动态网页，爬取超链接的有效方法,7,602
44课看不懂的地方,5,178
一行代码不知道为什么这么用,4,173
修改User-Agent时出错，请大家帮帮我,5,224
turtle画出不同直径的圆后实现排列,1,172
python,1,136
问题求助,2,137
手机上面的QPython3L怎么安装模块,2,411
用python如何实现记忆的功能,12,201
极客python Git 课后题是删除了吗,4,358
请求大佬们帮个忙,5,150
019讲：函数的课后作业疑问,2,145
pyinstaller 打包EXE只能在64位系统上运行问题,4,514
python零基础45讲课后练习题2疑问，请求高手解答,1,128
第41讲课后题2   帮我看看注释，我理解的对不对，总觉得不踏实,2,123
利用MIT心电数据库处理数据时遇到问题,3,182
最后两行什么意思？,8,248
报错求助！！,5,200
求助,3,183
Python 046讲课后动手题1,2,179
事件  event,0,131
为什么红色这段能起到作用,1,105
Python切片操作怎么理解,9,257
奇怪的字符串,4,199
求帮助,0,95
数据提取list index out of range,4,210
用socket（python）时，会出现 通常每个套接字地址(协议/网络地址/端口)只允许使用...,6,203
如何把2个输入合成一个,2,142
零基础Python课后作业怎么只有55讲，后面的呢,6,298
模块和包,0,106
input()函数怎么换行输入内容啊？,4,2707
一个关于类的系列问题 求解,1,160
Python统计本地某个文件中所有单词词频,7,286
猜数字的问题，萌新求教。,3,159
《零基础入门Python》系列课后习题只到55讲吗？,1,172
python录入动态网页信息,2,458
从列表中删除元素,2,255
有没python3.6.0以上的中文帮助文档，英文完全看不懂啊,2,177
内置函数：id_input,3,3431
python简单问题求助,3,177
求助关于列表问题？,5,156
帮忙注释下网页审查元素中Form data中分别代表什么看不到 谢谢,0,848
哔哩哔哩上的小甲鱼视频用的是python3.3.2的版本前几年的版本了影不影响学习,5,286
《零基础入门学习python》第21讲课后练习,2,890
基础课54课，爬虫我用的360浏览器,8,158
python用bfs和dfs寻找二维数组的最短距离,0,198
有关int的使用（不是转化成整形吗）,4,236
完全没有动静,0,170
Python获取windows进程模块句柄,0,130
请大佬们指导一下,18,230
python入门第十六讲，两个花括号怎么解释，有点不明白,1,143
git diff中文乱码,4,189
关于统计分数的一些问题,0,116
为啥提示类型一直符合要求？数字字符都提示不符合要求,3,165
第7章课时29,0,102
windows下python不能识别SIGALRM,1,151
安装easygui一直不成功，请问怎么能解决呢,4,276
萌新问下为啥我写出来是半双工的。。,2,132
'str' object is not callable,2,183
这里为什么显示raw_input is not defined,3,164
水仙花数的两个程序，有什么优劣？,8,197
列表课后习题求解答,4,143
使用表达式问题,4,146
對比Python中的字典（Dict）、列表（List）、元组（Tuple）,4,1293
自动化测试框架Selenium,18,7019
guess=0 是什么意思 不明白,7,225
optimize里Iteration limit exceeded的基础问题,8,493
python一些有趣的内置函数,39,1313
花式星号打印，求帮看看两个代码为啥效果差别这么大,5,154
请问这行result=1是什么意思,10,362
【删除字符】PTA老师布置的python题，用两种方法怎么都做不对鸭？,19,1056
Python入门第五讲，课后习题代码问题求指导。,4,279
python 关于 字典 的问题~,10,208
初学妹子---零基础入门学习Python第14节疑问,3,215
LeetCode 里面最简单的第一题！！（算法比较）（跪求）,6,313
没搞懂，我哪里错了,1,206
python 关于类的几个问题,3,153
求助：easygui对话框右上角的关闭按钮点击没有反应，怎么破？,4,1885
easygui中图形界面点关闭的叉没反应,13,4110
使用os.walk对文件夹递归进行处理时，如何排除特定文件夹,21,892
关于max()函数和min()函数,5,182
python怎么写全局热键启动停止运行,9,612
乘法表求助,2,102
Python网络爬虫连载之三 - 动态网页抓取 selenium上篇,2,851
关于BeautifulSoup问题求助,4,149
pyspider all,4,176
关于pyspider的问题。,1,387
关于pyspider调试无错，但自动运行无结果的问题,1,623
求大佬帮忙下，理解不到列表推导式,2,276
pygame声音会有点延迟是什么鬼,1,209
汉字正则表达式,5,188
我尝试做的这个程序不能运行,7,200
Python：问题贴之汉诺塔递归,18,1735
如何批量修改list中的内容,3,226
12讲最后一题，答案都看不懂了orz,2,205
(role，line_spoken) = lines.split(':'，1)我写这行代码为什么会报错,3,244
求助！大众网人均消费怎么获取。。。,6,130
爬虫 re  收不到需要的内容  求大佬帮助,10,151
pycharm两个环境怎么共用模块,1,149
急求怎么用python编写阿里云centos服务器的接口,0,118
在零基础python的45课代码疑问,5,205
求个正则表达式,5,140
关于第二课的一个疑惑,7,196
小白求助，Python int 超过0x7FFFFFFF 之后会怎么处理？,2,228
pyqt与tk那个界面好看，准备学习学习GUI,4,275
python全局热键启动停止问题,1,411
pygame.error: video system not initialized,7,3270
零基础入门python 39的课后练习求助,4,149
容器类型,4,120
Requests 模块中get与post请求的区别是什么？,3,377
关于第九节，输入三次密码登陆程序,2,163
python 034讲，关于 with 关键字的 用法,10,185
求教个问题,1,129
第003讲：插曲之变量和字符串 | 课后第2题,1,109
关于pygame中delay函数的问题,1,79
有鱼油是搞神经网络和深度学习这块的么？,0,115
三十讲课后作业,3,164
请问一下各位这个光标的问题,0,153
python高手，帮改一下这个程序，谢谢，第六讲课后题,2,141
爬虫遇到网页data加入salt值如何解决,2,138
033讲，动动手03 疑问~~~,6,124
【求助】用pygame写的贪吃蛇，出现display Surface quit错误,4,574
一个解决关于学校招生实际问题的算法,8,266
str1.splitlines()可行？str1.split('\n')不可行？,11,267
求助！！！！！！,3,241
python scrapy问题,6,193
问下百度贴吧的回复的时间怎么爬取。,2,189
就加了个 head  问题就出来了   0.0,5,175
字符画代码总是报错，求助！想给媳妇儿一个惊喜。,7,140
第一个小游戏报错，万事开头难,9,675
为啥我返回的值永远是这样的得不到真实值  跪求大佬,5,239
求助ttk的style,7,347
四舍五入的方法，比小甲鱼的有效多了！,4,307
字典中的列表遍历,1,157
用py写北京限号查询小工具,1,93
tkinter 主窗口背景图片怎么设置啊？,4,12922
关于编码问题...求大神解释一下编码以及过目一下为什么print完后变成GBK编码格式？,2,229
如何在mac系统上用python读取txt文件的内容？,2,753
PIL 图片打开关联了PS,10,277
求助，pyinstaller打包成exe文件出现问题,3,178
请教两个程序的区别,1,148
numpy ndarray中如何只修改某几行中符合条件的数据？,2,228
pycharm爬取的东西默认存在哪里,4,261
我这个输出为什么是NONE,2,163
为什么爬取的不是想要的,2,193
python小练习（004）：淘气的侄子,19,2038
关于判断是否是闰年的代码，看不出问题，求助,6,162
初学者求助，20讲题目有一些看不懂。,4,135
关于easygui导入gif,2,236
end的用法及作用,8,263
求助如何用递归删除一个目录中所有文件和子目录，不是用shutil,2,262
关于new函数的疑惑？,6,180
正则表达式re.VERBOSE编译出错,2,184
求教一个函数的理解问题,2,139
大佬帮看下 大一题目,2,274
010第二题 想问一下大家，是加粗的这里有问题吗？为什么有问题？,4,230
有个错误需要解决,2,178
关于一个tkinter事件绑定实例遇到的问题,10,1341
python3.7.1版本向列表添加元素的问题,5,122
0基础PY第12讲最后一题,3,155
关于VS2015的问题,0,184
这段代码看不懂！,3,168
谁能给解释下小甲鱼写的这个小球穿越过来的代码，没看懂?,1,172
请问谁有零基础学习Python第34讲【扩展阅读】字符集与字符集编码详解 的内容记录吗,0,283
21题课后习题，lambda调用，求助,2,214
【argparse】参数录入报错求解,0,164
第42课的问题,2,138
如何让用户多次输入？求指导，谢谢！,4,243
TKinter中生成二维码显示在界面上？求指导,2,141
Python Scrapy采集使用IP代理如何更好的处理？,1,150
这是什么原因？？？,3,135
26 淘宝商品图片爬虫实战1,20,2664
